,,Unique,Unique-values,use case from drugbank,
Flufenamic acid,,,,,
Flufenamic acid,,,,,
Flufenamic acid,,,,,
Flufenamic acid,,,,,
Flumequine,,,,,
Flumequine,,,,,
Flumequine,,,,,
Flumequine,,,,,
Flumequine,,,,,
Flumequine,,,,,
Flumequine,,,,,
Flumequine,,,,,
Flumequine,,,,,
Flumequine,,,,,
Flumequine,,,,,
Flumequine,,,,,
Flumequine,,,,,
Flumequine,,,,,
Flumequine,,,,,
Flumequine,,,,,
Flumequine,,,,,
Flumequine,,,,,
Flumequine,,,,,
Flumequine,,,,,
Flumequine,,,,,
Flumequine,,,,,
Flumequine,,,,,
Flunarizine dihydrochloride,,,,,
Flunixin meglumine,,,,,
Flunixin meglumine,,,,,
Fluorometholone,,,,,
Fluphenazine,,,,,
Fluphenazine,,,,,
Fluphenazine,,,,,
Fluphenazine,,,,,
Fluphenazine,,,,,
Fluphenazine,,,,,
Fluphenazine,,,,,
Fluphenazine,,,,,
Fluphenazine,,,,,
Fluphenazine dihydrochloride,,,,,
Fluphenazine dihydrochloride,,,,,
Fluphenazine dihydrochloride,,,,,
Fluphenazine dihydrochloride,,,,,
Fluphenazine dihydrochloride,,,,,
Fluspirilen,,,,,
Fluspirilen,,,,,
Fluvoxamine maleate,,,,,
Fluvoxamine maleate,,,,,
Furaltadone hydrochloride,,,,,
Furaltadone hydrochloride,,,,,
Furaltadone hydrochloride,,,,,
Furaltadone hydrochloride,,,,,
Furaltadone hydrochloride,,,,,
Furaltadone hydrochloride,,,,,
Furaltadone hydrochloride,,,,,
Furaltadone hydrochloride,,,,,
Furaltadone hydrochloride,,,,,
Furaltadone hydrochloride,,,,,
Furaltadone hydrochloride,,,,,
Furaltadone hydrochloride,,,,,
Furaltadone hydrochloride,,,,,
Furaltadone hydrochloride,,,,,
Furaltadone hydrochloride,,,,,
Furaltadone hydrochloride,,,,,
Furaltadone hydrochloride,,,,,
Furaltadone hydrochloride,,,,,
Furaltadone hydrochloride,,,,,
Furaltadone hydrochloride,,,,,
Furaltadone hydrochloride,,,,,
Furaltadone hydrochloride,,,,,
Furaltadone hydrochloride,,,,,
Furaltadone hydrochloride,,,,,
Furaltadone hydrochloride,,,,,
Furaltadone hydrochloride,,,,,
Furaltadone hydrochloride,,,,,
Furaltadone hydrochloride,,,,,
Furaltadone hydrochloride,,,,,
Furaltadone hydrochloride,,,,,
Furaltadone hydrochloride,,,,,
Furaltadone hydrochloride,,,,,
Furaltadone hydrochloride,,,,,
Furaltadone hydrochloride,,,,,
Furaltadone hydrochloride,,,,,
Furaltadone hydrochloride,,,,,
Furaltadone hydrochloride,,,,,
Furazolidone,,,,,
Furazolidone,,,,,
Furazolidone,,,,,
Furazolidone,,,,,
Furazolidone,,,,,
Furazolidone,,,,,
Furazolidone,,,,,
Furazolidone,,,,,
Furazolidone,,,,,
Furazolidone,,,,,
Furazolidone,,,,,
Furazolidone,,,,,
Furazolidone,,,,,
Furazolidone,,,,,
Furazolidone,,,,,
Furazolidone,,,,,
Furazolidone,,,,,
Furazolidone,,,,,
Furazolidone,,,,,
Furazolidone,,,,,
Furazolidone,,,,,
Furazolidone,,,,,
Furazolidone,,,,,
Furazolidone,,,,,
Furazolidone,,,,,
Furazolidone,,,,,
Furazolidone,,,,,
Furazolidone,,,,,
Furazolidone,,,,,
Furazolidone,,,,,
Furazolidone,,,,,
Furazolidone,,,,,
Furazolidone,,,,,
Furazolidone,,,,,
Furazolidone,,,,,
Furazolidone,,,,,
Furazolidone,,,,,
Fusidic acid sodium salt,,,,,
Fusidic acid sodium salt,,,,,
Fusidic acid sodium salt,,,,,
Fusidic acid sodium salt,,,,,
Fusidic acid sodium salt,,,,,
Fusidic acid sodium salt,,,,,
Fusidic acid sodium salt,,,,,
Fusidic acid sodium salt,,,,,
Fusidic acid sodium salt,,,,,
Fusidic acid sodium salt,,,,,
Fusidic acid sodium salt,,,,,
Fusidic acid sodium salt,,,,,
Fusidic acid sodium salt,,,,,
Fusidic acid sodium salt,,,,,
Fusidic acid sodium salt,,,,,
Fusidic acid sodium salt,,,,,
Fusidic acid sodium salt,,,,,
Fusidic acid sodium salt,,,,,
Fusidic acid sodium salt,,,,,
Fusidic acid sodium salt,,,,,
Fusidic acid sodium salt,,,,,
Fusidic acid sodium salt,,,,,
Fusidic acid sodium salt,,,,,
Fusidic acid sodium salt,,,,,
Fusidic acid sodium salt,,,,,
Fusidic acid sodium salt,,,,,
Fusidic acid sodium salt,,,,,
Fusidic acid sodium salt,,,,,
Fusidic acid sodium salt,,,,,
Fusidic acid sodium salt,,,,,
Fusidic acid sodium salt,,,,,
Fusidic acid sodium salt,,,,,
Fusidic acid sodium salt,,,,,
Fusidic acid sodium salt,,,,,
Gatifloxacin,,,,,
Gatifloxacin,,,,,
Gatifloxacin,,,,,
Gatifloxacin,,,,,
Gatifloxacin,,,,,
Gatifloxacin,,,,,
Gatifloxacin,,,,,
Gatifloxacin,,,,,
Gatifloxacin,,,,,
Gatifloxacin,,,,,
Gatifloxacin,,,,,
Gatifloxacin,,,,,
Gatifloxacin,,,,,
Gatifloxacin,,,,,
Gatifloxacin,,,,,
Gatifloxacin,,,,,
Gatifloxacin,,,,,
Gatifloxacin,,,,,
Gatifloxacin,,,,,
Gatifloxacin,,,,,
Gatifloxacin,,,,,
Gatifloxacin,,,,,
Gatifloxacin,,,,,
Gatifloxacin,,,,,
Gatifloxacin,,,,,
Gatifloxacin,,,,,
Gatifloxacin,,,,,
Gatifloxacin,,,,,
Gatifloxacin,,,,,
Gatifloxacin,,,,,
Gatifloxacin,,,,,
Gatifloxacin,,,,,
Gatifloxacin,,,,,
Gatifloxacin,,,,,
Gatifloxacin,,,,,
Gatifloxacin,,,,,
GBR 12909 dihydrochloride,,,,,
GBR 12909 dihydrochloride,,,,,
GBR 12909 dihydrochloride,,,,,
Gemcitabine,,,,,
Gemcitabine,,,,,
Gemcitabine,,,,,
Gemcitabine,,,,,
Gemcitabine,,,,,
Gemcitabine,,,,,
Gemcitabine,,,,,
Gemcitabine,,,,,
Gemcitabine,,,,,
Gemcitabine,,,,,
Gemcitabine,,,,,
Gentamicine sulfate,,,,,
Gentamicine sulfate,,,,,
Gentamicine sulfate,,,,,
Glafenine hydrochloride,,,,,
Gliclazide,,,,,
Gliclazide,,,,,
Gliclazide,,,,,
Gliclazide,,,,,
Gliclazide,,,,,
Gliclazide,,,,,
Gliclazide,,,,,
Gliclazide,,,,,
Gliclazide,,,,,
Gliclazide,,,,,
Gliclazide,,,,,
Glipizide,,,,,
Glipizide,,,,,
Glipizide,,,,,
Glipizide,,,,,
Glipizide,,,,,
Glipizide,,,,,
Glipizide,,,,,
Glipizide,,,,,
Glipizide,,,,,
Gliquidone,,,,,
Glycyrrhizic acid,,,,,
Guanadrel sulfate,,,,,
Halofantrine hydrochloride,,,,,
Halofantrine hydrochloride,,,,,
Halofantrine hydrochloride,,,,,
Halofantrine hydrochloride,,,,,
Halofantrine hydrochloride,,,,,
Haloperidol,,,,,
Haloperidol,,,,,
Haloprogin,,,,,
Haloprogin,,,,,
Haloprogin,,,,,
Haloprogin,,,,,
Hexachlorophene,,,,,
Hexachlorophene,,,,,
Hexachlorophene,,,,,
Hexachlorophene,,,,,
Hexachlorophene,,,,,
Hexachlorophene,,,,,
Hexachlorophene,,,,,
Hexachlorophene,,,,,
Hexachlorophene,,,,,
Hexachlorophene,,,,,
Hexachlorophene,,,,,
Hexachlorophene,,,,,
Hexachlorophene,,,,,
Hexachlorophene,,,,,
Hexachlorophene,,,,,
Hexachlorophene,,,,,
Hexachlorophene,,,,,
Hexachlorophene,,,,,
Hexachlorophene,,,,,
Hexachlorophene,,,,,
Hexachlorophene,,,,,
Hexachlorophene,,,,,
Hexachlorophene,,,,,
Hexachlorophene,,,,,
Hexachlorophene,,,,,
Hexachlorophene,,,,,
Hexachlorophene,,,,,
Hexachlorophene,,,,,
Hexachlorophene,,,,,
Hexachlorophene,,,,,
Hexachlorophene,,,,,
Hexachlorophene,,,,,
Hexachlorophene,,,,,
Hexachlorophene,,,,,
Hexachlorophene,,,,,
Hexachlorophene,,,,,
Hexestrol,,,,,
Hexestrol,,,,,
Hexestrol,,,,,
Hexestrol,,,,,
Hexestrol,,,,,
Hexestrol,,,,,
Hexestrol,,,,,
Hexestrol,,,,,
Hexestrol,,,,,
Hexestrol,,,,,
Hexestrol,,,,,
Hexestrol,,,,,
Hexestrol,,,,,
Hexestrol,,,,,
Hexestrol,,,,,
Hexestrol,,,,,
Hexestrol,,,,,
Hexestrol,,,,,
Hexestrol,,,,,
Hexetidine,,,,,
Hexetidine,,,,,
Hexetidine,,,,,
Hexetidine,,,,,
Hexetidine,,,,,
Hexetidine,,,,,
Hycanthone,,,,,
Hycanthone,,,,,
Hycanthone,,,,,
Hycanthone,,,,,
Hycanthone,,,,,
Hycanthone,,,,,
Hydrocortisone base,,,,,
Hydrocortisone base,,,,,
Hypochlorite,,,,,
Ibutilide fumarate,,,,,
Idarubicin,,,,,
Idebenone,,,,,
Idebenone,,,,,
Idebenone,,,,,
Idebenone,,,,,
Idebenone,,,,,
Idebenone,,,,,
Idebenone,,,,,
Idebenone,,,,,
Idebenone,,,,,
Idebenone,,,,,
Idebenone,,,,,
Idebenone,,,,,
Idebenone,,,,,
Idebenone,,,,,
Idebenone,,,,,
Idebenone,,,,,
Idebenone,,,,,
Idebenone,,,,,
Idebenone,,,,,
Idebenone,,,,,
Idebenone,,,,,
Idebenone,,,,,
Idoxuridine,,,,,
Idoxuridine,,,,,
Idoxuridine,,,,,
Idoxuridine,,,,,
Idoxuridine,,,,,
Imatinib,,,,,
Imatinib,,,,,
Imatinib,,,,,
Imatinib,,,,,
Imatinib,,,,,
Imipenem,,,,,
Imipenem,,,,,
Imipenem,,,,,
Imipenem,,,,,
Imipenem,,,,,
Imipenem,,,,,
Imipenem,,,,,
Imipenem,,,,,
Imipenem,,,,,
Imipenem,,,,,
Imipenem,,,,,
Imipenem,,,,,
Imipenem,,,,,
Imipenem,,,,,
Imipenem,,,,,
Imipenem,,,,,
Imipenem,,,,,
Imipenem,,,,,
Imipenem,,,,,
Imipenem,,,,,
Imipenem,,,,,
Imipenem,,,,,
Imipenem,,,,,
Imipenem,,,,,
Imipenem,,,,,
Imipenem,,,,,
Imipenem,,,,,
Imipenem,,,,,
Imipenem,,,,,
Imipenem,,,,,
Imipenem,,,,,
Imipenem,,,,,
Imiquimod,,,,,
Indomethacin,,,,,
Indomethacin,,,,,
Indomethacin,,,,,
Indomethacin,,,,,
Indomethacin,,,,,
Indomethacin,,,,,
Indomethacin,,,,,
Indomethacin,,,,,
Indomethacin,,,,,
Indomethacin,,,,,
Indomethacin,,,,,
Indomethacin,,,,,
Indomethacin,,,,,
Indomethacin,,,,,
Infliximab,,,,,
Infliximab,,,,,
Iocetamic acid,,,,,
Iohexol,,,,,
Iohexol,,,,,
Iohexol,,,,,
Iopanoic acid,,,,,
Irbesartan,,,,,
Irbesartan,,,,,
Irbesartan,,,,,
Irbesartan,,,,,
Irbesartan,,,,,
Irbesartan,,,,,
Irbesartan,,,,,
Irbesartan,,,,,
Irbesartan,,,,,
Irbesartan,,,,,
Irbesartan,,,,,
Irbesartan,,,,,
Irbesartan,,,,,
Irbesartan,,,,,
Irbesartan,,,,,
Irinotecan,,,,,
Irinotecan,,,,,
Irinotecan,,,,,
Irinotecan,,,,,
Irinotecan,,,,,
Irinotecan,,,,,
Irinotecan,,,,,
Irinotecan,,,,,
Irinotecan,,,,,
Irinotecan,,,,,
Irinotecan,,,,,
Irinotecan,,,,,
Irinotecan,,,,,
Irinotecan,,,,,
Irinotecan,,,,,
Irinotecan,,,,,
Irinotecan,,,,,
Irinotecan,,,,,
Irinotecan,,,,,
Irinotecan,,,,,
Irinotecan,,,,,
Irinotecan,,,,,
Irinotecan,,,,,
Irinotecan,,,,,
Irinotecan,,,,,
Irinotecan,,,,,
Irsogladine maleate,,,,,
Isoconazole,,,,,
Isoconazole,,,,,
Isoconazole,,,,,
Isoconazole,,,,,
Isoconazole,,,,,
Isoconazole,,,,,
Isoconazole,,,,,
Isoconazole,,,,,
Isoconazole,,,,,
Isoconazole,,,,,
Isoconazole,,,,,
Isoconazole,,,,,
Isoconazole,,,,,
Isoconazole,,,,,
Isoconazole,,,,,
Isoconazole,,,,,
Isoconazole,,,,,
Isoconazole,,,,,
Isoconazole,,,,,
Isoconazole,,,,,
Isoconazole,,,,,
Isoconazole,,,,,
Isoconazole,,,,,
Isoconazole,,,,,
Isoconazole,,,,,
Isoconazole,,,,,
Isoconazole,,,,,
Isoconazole,,,,,
Itraconazole,,,,,
Itraconazole,,,,,
Itraconazole,,,,,
Itraconazole,,,,,
Itraconazole,,,,,
Itraconazole,,,,,
Ketorolac tromethamine,,,,,
Ketorolac tromethamine,,,,,
Ketorolac tromethamine,,,,,
Ketorolac tromethamine,,,,,
Ketorolac tromethamine,,,,,
Ketorolac tromethamine,,,,,
Ketorolac tromethamine,,,,,
Ketorolac tromethamine,,,,,
Ketorolac tromethamine,,,,,
Lacidipine,,,,,
Lacidipine,,,,,
Lacidipine,,,,,
Lacidipine,,,,,
Lacidipine,,,,,
Lacidipine,,,,,
Lactulose,,,,,
Lactulose,,,,,
Lactulose,,,,,
Lactulose,,,,,
Lactulose,,,,,
Lactulose,,,,,
Lactulose,,,,,
Lactulose,,,,,
Lactulose,,,,,
Lactulose,,,,,
Lansoprazole,,,,,
Lansoprazole,,,,,
Lansoprazole,,,,,
Lansoprazole,,,,,
Lansoprazole,,,,,
Lansoprazole,,,,,
Lansoprazole,,,,,
Latamoxef,,,,,
Laxatives,,,,,
Laxatives,,,,,
Laxatives,,,,,
Laxatives,,,,,
Laxatives,,,,,
Laxatives,,,,,
Laxatives,,,,,
Leflunomide,,,,,
Leflunomide,,,,,
Levodopa,,,,,
Levodopa,,,,,
Levodopa,,,,,
Levofloxacin,,,,,
Levonorgestrel,,,,,
Levonorgestrel,,,,,
Levonorgestrel,,,,,
Levonorgestrel,,,,,
Levonorgestrel,,,,,
Levonorgestrel,,,,,
Levonorgestrel,,,,,
Levonorgestrel,,,,,
Levonorgestrel,,,,,
Levonorgestrel,,,,,
Levonorgestrel,,,,,
Levonorgestrel,,,,,
Levonorgestrel,,,,,
Levonorgestrel,,,,,
Levonorgestrel,,,,,
Levonorgestrel,,,,,
Levonorgestrel,,,,,
Levonorgestrel,,,,,
Levonorgestrel,,,,,
Levonorgestrel,,,,,
Levonorgestrel,,,,,
Lidoflazine,,,,,
Lidoflazine,,,,,
Lidoflazine,,,,,
Lidoflazine,,,,,
Linagliptin,,,,,
Linagliptin,,,,,
Linagliptin,,,,,
Linagliptin,,,,,
Linagliptin,,,,,
Linagliptin,,,,,
Linagliptin,,,,,
Linagliptin,,,,,
Linagliptin,,,,,
Linagliptin,,,,,
Linagliptin,,,,,
Linagliptin,,,,,
Linagliptin,,,,,
Linagliptin,,,,,
Linagliptin,,,,,
Lincomycin hydrochloride,,,,,
Lincomycin hydrochloride,,,,,
Lincomycin hydrochloride,,,,,
Lincomycin hydrochloride,,,,,
Lincomycin hydrochloride,,,,,
Lincomycin hydrochloride,,,,,
Lincomycin hydrochloride,,,,,
Lincomycin hydrochloride,,,,,
Lincomycin hydrochloride,,,,,
Lincomycin hydrochloride,,,,,
Lincomycin hydrochloride,,,,,
Lincomycin hydrochloride,,,,,
Lincomycin hydrochloride,,,,,
Lincomycin hydrochloride,,,,,
Lincomycin hydrochloride,,,,,
Lincomycin hydrochloride,,,,,
Lincomycin hydrochloride,,,,,
Lincomycin hydrochloride,,,,,
Lincomycin hydrochloride,,,,,
Lincomycin hydrochloride,,,,,
Lincomycin hydrochloride,,,,,
Lincomycin hydrochloride,,,,,
Lincomycin hydrochloride,,,,,
Lincomycin hydrochloride,,,,,
Lincomycin hydrochloride,,,,,
Lincomycin hydrochloride,,,,,
Lincomycin hydrochloride,,,,,
Lincomycin hydrochloride,,,,,
Lincomycin hydrochloride,,,,,
Lincomycin hydrochloride,,,,,
Lincomycin hydrochloride,,,,,
Lincomycin hydrochloride,,,,,
Lincomycin hydrochloride,,,,,
Lincomycin hydrochloride,,,,,
Lincomycin hydrochloride,,,,,
Linezolid,,,,,
Linezolid,,,,,
Linezolid,,,,,
Linezolid,,,,,
Linezolid,,,,,
Linezolid,,,,,
Linezolid,,,,,
Linezolid,,,,,
Linezolid,,,,,
Linezolid,,,,,
Linezolid,,,,,
Linezolid,,,,,
Linezolid,,,,,
Linezolid,,,,,
Linezolid,,,,,
Linezolid,,,,,
Linezolid,,,,,
Linezolid,,,,,
Linezolid,,,,,
Linezolid,,,,,
Linezolid,,,,,
Linezolid,,,,,
Linezolid,,,,,
Linezolid,,,,,
Linezolid,,,,,
Linezolid,,,,,
Linezolid,,,,,
Linezolid,,,,,
Linezolid,,,,,
Linezolid,,,,,
Linezolid,,,,,
Linezolid,,,,,
Linezolid,,,,,
Linezolid,,,,,
Linezolid,,,,,
Linezolid,,,,,
Linezolid,,,,,
Linezolid,,,,,
Lofexidine ,,,,,
Lomefloxacin hydrochloride,,,,,
Lomefloxacin hydrochloride,,,,,
Lomefloxacin hydrochloride,,,,,
Lomefloxacin hydrochloride,,,,,
Lomefloxacin hydrochloride,,,,,
Lomefloxacin hydrochloride,,,,,
Lomefloxacin hydrochloride,,,,,
Lomefloxacin hydrochloride,,,,,
Lomefloxacin hydrochloride,,,,,
Lomefloxacin hydrochloride,,,,,
Lomefloxacin hydrochloride,,,,,
Lomefloxacin hydrochloride,,,,,
Lomefloxacin hydrochloride,,,,,
Lomefloxacin hydrochloride,,,,,
Lomefloxacin hydrochloride,,,,,
Lomefloxacin hydrochloride,,,,,
Lomefloxacin hydrochloride,,,,,
Lomefloxacin hydrochloride,,,,,
Lomefloxacin hydrochloride,,,,,
Lomefloxacin hydrochloride,,,,,
Lomefloxacin hydrochloride,,,,,
Lomefloxacin hydrochloride,,,,,
Lomefloxacin hydrochloride,,,,,
Lomefloxacin hydrochloride,,,,,
Loperamide hydrochloride,,,,,
Loperamide hydrochloride,,,,,
Loracarbef,,,,,
Loracarbef,,,,,
Loracarbef,,,,,
Loracarbef,,,,,
Loracarbef,,,,,
Loracarbef,,,,,
Loracarbef,,,,,
Loracarbef,,,,,
Loracarbef,,,,,
Loracarbef,,,,,
Loracarbef,,,,,
Loracarbef,,,,,
Loracarbef,,,,,
Loracarbef,,,,,
Loracarbef,,,,,
Loracarbef,,,,,
Loracarbef,,,,,
Loracarbef,,,,,
Loracarbef,,,,,
Loracarbef,,,,,
Loracarbef,,,,,
Loracarbef,,,,,
Loracarbef,,,,,
Loracarbef,,,,,
Loracarbef,,,,,
Loracarbef,,,,,
Loracarbef,,,,,
Loracarbef,,,,,
Losartan,,,,,
Losartan,,,,,
Losartan,,,,,
Losartan,,,,,
Losartan,,,,,
Losartan,,,,,
Losartan,,,,,
Losartan,,,,,
Losartan,,,,,
Losartan,,,,,
Losartan,,,,,
Losartan,,,,,
Losartan,,,,,
Loxapine succinate,,,,,
Loxapine succinate,,,,,
Loxapine succinate,,,,,
Loxapine succinate,,,,,
Loxapine succinate,,,,,
Loxapine succinate,,,,,
Loxapine succinate,,,,,
Lymecycline,,,,,
Lymecycline,,,,,
Lymecycline,,,,,
Lymecycline,,,,,
Lymecycline,,,,,
Lymecycline,,,,,
Lymecycline,,,,,
Lymecycline,,,,,
Lymecycline,,,,,
Lymecycline,,,,,
Lymecycline,,,,,
Lymecycline,,,,,
Lymecycline,,,,,
Lymecycline,,,,,
Lymecycline,,,,,
Lymecycline,,,,,
Lymecycline,,,,,
Lymecycline,,,,,
Lymecycline,,,,,
Lymecycline,,,,,
Lymecycline,,,,,
Lynestrenol,,,,,
Lynestrenol,,,,,
Mafenide hydrochloride,,,,,
Mafenide hydrochloride,,,,,
Mafenide hydrochloride,,,,,
Mafenide hydrochloride,,,,,
Mafenide hydrochloride,,,,,
Mafenide hydrochloride,,,,,
Mafenide hydrochloride,,,,,
Mafenide hydrochloride,,,,,
Mafenide hydrochloride,,,,,
Mafenide hydrochloride,,,,,
Mafenide hydrochloride,,,,,
Mafenide hydrochloride,,,,,
Mafenide hydrochloride,,,,,
Mafenide hydrochloride,,,,,
Mafenide hydrochloride,,,,,
Mafenide hydrochloride,,,,,
Mafenide hydrochloride,,,,,
Mebendazole,,,,,
Mebendazole,,,,,
Mebendazole,,,,,
Mebendazole,,,,,
Mebendazole,,,,,
Mebendazole,,,,,
Mebendazole,,,,,
Mebendazole,,,,,
Mebendazole,,,,,
Mebendazole,,,,,
Mebendazole,,,,,
Mebendazole,,,,,
Mebendazole,,,,,
Mebendazole,,,,,
Mebendazole,,,,,
Mebendazole,,,,,
Mebendazole,,,,,
Mebendazole,,,,,
"Mebhydroline 1,5-naphtalenedisulfonate",,,,,
"Mebhydroline 1,5-naphtalenedisulfonate",,,,,
Meclocycline sulfosalicylate,,,,,
Meclocycline sulfosalicylate,,,,,
Meclocycline sulfosalicylate,,,,,
Meclocycline sulfosalicylate,,,,,
Meclocycline sulfosalicylate,,,,,
Meclocycline sulfosalicylate,,,,,
Meclocycline sulfosalicylate,,,,,
Meclocycline sulfosalicylate,,,,,
Meclocycline sulfosalicylate,,,,,
Meclocycline sulfosalicylate,,,,,
Meclocycline sulfosalicylate,,,,,
Meclocycline sulfosalicylate,,,,,
Meclocycline sulfosalicylate,,,,,
Meclocycline sulfosalicylate,,,,,
Meclocycline sulfosalicylate,,,,,
Meclocycline sulfosalicylate,,,,,
Meclocycline sulfosalicylate,,,,,
Meclocycline sulfosalicylate,,,,,
Meclocycline sulfosalicylate,,,,,
Meclocycline sulfosalicylate,,,,,
Meclocycline sulfosalicylate,,,,,
Meclocycline sulfosalicylate,,,,,
Meclocycline sulfosalicylate,,,,,
Meclocycline sulfosalicylate,,,,,
Meclocycline sulfosalicylate,,,,,
Meclocycline sulfosalicylate,,,,,
Meclocycline sulfosalicylate,,,,,
Meclocycline sulfosalicylate,,,,,
Meclocycline sulfosalicylate,,,,,
Meclocycline sulfosalicylate,,,,,
Meclocycline sulfosalicylate,,,,,
Meclocycline sulfosalicylate,,,,,
Meclocycline sulfosalicylate,,,,,
Meclocycline sulfosalicylate,,,,,
Meclocycline sulfosalicylate,,,,,
Meclocycline sulfosalicylate,,,,,
Meclocycline sulfosalicylate,,,,,
Meclocycline sulfosalicylate,,,,,
Meclofenamic acid sodium salt monohydrate,,,,,
Meclofenamic acid sodium salt monohydrate,,,,,
Meclofenamic acid sodium salt monohydrate,,,,,
Meclofenamic acid sodium salt monohydrate,,,,,
Meclofenamic acid sodium salt monohydrate,,,,,
Meclozine dihydrochloride,,,,,
Meclozine dihydrochloride,,,,,
Meclozine dihydrochloride,,,,,
Meclozine dihydrochloride,,,,,
Meclozine dihydrochloride,,,,,
Meclozine dihydrochloride,,,,,
Meclozine dihydrochloride,,,,,
Meclozine dihydrochloride,,,,,
Mefloquine,,,,,
Mefloquine,,,,,
Mefloquine,,,,,
Mefloquine,,,,,
Mefloquine hydrochloride,,,,,
Mefloquine hydrochloride,,,,,
Mefloquine hydrochloride,,,,,
Mefloquine hydrochloride,,,,,
Mefloquine hydrochloride,,,,,
Mefloquine hydrochloride,,,,,
Mefloquine hydrochloride,,,,,
Mefloquine hydrochloride,,,,,
Mefloquine hydrochloride,,,,,
Mefloquine hydrochloride,,,,,
Mefloquine hydrochloride,,,,,
Mefloquine hydrochloride,,,,,
Mefloquine hydrochloride,,,,,
Megestrol acetate,,,,,
Megestrol acetate,,,,,
Megestrol acetate,,,,,
Megestrol acetate,,,,,
Megestrol acetate,,,,,
Megestrol acetate,,,,,
Megestrol acetate,,,,,
Megestrol acetate,,,,,
Megestrol acetate,,,,,
Megestrol acetate,,,,,
Megestrol acetate,,,,,
Megestrol acetate,,,,,
Megestrol acetate,,,,,
Megestrol acetate,,,,,
Megestrol acetate,,,,,
Megestrol acetate,,,,,
Megestrol acetate,,,,,
Megestrol acetate,,,,,
Megestrol acetate,,,,,
Megestrol acetate,,,,,
Melphalan,,,,,
Melphalan,,,,,
Melphalan,,,,,
Melphalan,,,,,
Melphalan,,,,,
Melphalan,,,,,
Melphalan,,,,,
Melphalan,,,,,
Melphalan,,,,,
Melphalan,,,,,
Melphalan,,,,,
Melphalan,,,,,
Melphalan,,,,,
Melphalan,,,,,
Melphalan,,,,,
Melphalan,,,,,
Melphalan,,,,,
Melphalan,,,,,
Melphalan,,,,,
Melphalan,,,,,
Melphalan,,,,,
Melphalan,,,,,
Melphalan,,,,,
Melphalan,,,,,
Melphalan,,,,,
Melphalan,,,,,
Melphalan,,,,,
Melphalan,,,,,
Melphalan,,,,,
Melphalan,,,,,
Melphalan,,,,,
Melphalan,,,,,
Melphalan,,,,,
Melphalan,,,,,
Melphalan,,,,,
Melphalan,,,,,
Melphalan,,,,,
Melphalan,,,,,
Melphalan,,,,,
Melphalan,,,,,
Melphalan,,,,,
Melphalan,,,,,
Melphalan,,,,,
Melphalan,,,,,
Melphalan,,,,,
Melphalan,,,,,
Melphalan,,,,,
Melphalan,,,,,
Melphalan,,,,,
Melphalan,,,,,
Melphalan,,,,,
Melphalan,,,,,
Melphalan,,,,,
Melphalan,,,,,
Melphalan,,,,,
Melphalan,,,,,
Melphalan,,,,,
Melphalan,,,,,
Melphalan,,,,,
Melphalan,,,,,
Melphalan,,,,,
Melphalan,,,,,
Melphalan,,,,,
Melphalan,,,,,
Melphalan,,,,,
Melphalan,,,,,
Melphalan,,,,,
Melphalan,,,,,
Melphalan,,,,,
Melphalan,,,,,
Melphalan,,,,,
Melphalan,,,,,
Melphalan,,,,,
Memantine,,,,,
Memantine,,,,,
Menadione,,,,,
Merbromin,,,,,
Merbromin,,,,,
Merbromin,,,,,
Merbromin,,,,,
Merbromin,,,,,
Merbromin,,,,,
Merbromin,,,,,
Merbromin,,,,,
Merbromin,,,,,
Merbromin,,,,,
Merbromin,,,,,
Merbromin,,,,,
Merbromin,,,,,
Merbromin,,,,,
Merbromin,,,,,
Merbromin,,,,,
Merbromin,,,,,
Merbromin,,,,,
Merbromin,,,,,
Merbromin,,,,,
Merbromin,,,,,
Merbromin,,,,,
Merbromin,,,,,
Merbromin,,,,,
Merbromin,,,,,
Merbromin,,,,,
Merbromin,,,,,
Merbromin,,,,,
Merbromin,,,,,
Merbromin,,,,,
Meropenem,,,,,
Meropenem,,,,,
Meropenem,,,,,
Meropenem,,,,,
Meropenem,,,,,
Meropenem,,,,,
Meropenem,,,,,
Meropenem,,,,,
Meropenem,,,,,
Meropenem,,,,,
Meropenem,,,,,
Meropenem,,,,,
Meropenem,,,,,
Meropenem,,,,,
Meropenem,,,,,
Meropenem,,,,,
Meropenem,,,,,
Meropenem,,,,,
Meropenem,,,,,
Meropenem,,,,,
Meropenem,,,,,
Meropenem,,,,,
Meropenem,,,,,
Meropenem,,,,,
Meropenem,,,,,
Meropenem,,,,,
Meropenem,,,,,
Meropenem,,,,,
Meropenem,,,,,
Meropenem,,,,,
Meropenem,,,,,
Meropenem,,,,,
Meropenem,,,,,
Meropenem,,,,,
Meropenem,,,,,
Meropenem,,,,,
Mesalazine,,,,,
Mesalazine,,,,,
Mesalazine,,,,,
Mesalazine,,,,,
Mesalazine,,,,,
Mesalazine,,,,,
Mesalazine,,,,,
Mesalazine,,,,,
Mesalazine,,,,,
Mesalazine,,,,,
Mesalazine,,,,,
Mesoridazine besylate,,,,,
Mesoridazine besylate,,,,,
Mesoridazine besylate,,,,,
Metaxalone,,,,,
Metaxalone,,,,,
Metaxalone,,,,,
Metaxalone,,,,,
Metaxalone,,,,,
Metaxalone,,,,,
Metaxalone,,,,,
Metaxalone,,,,,
Metaxalone,,,,,
Metaxalone,,,,,
Metaxalone,,,,,
